Date,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Province,Island,Special Status,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
3/21/2020,DKI Jakarta,8,3,6,-1,81,41,57,-17,DKI Jakarta,Jawa,Daerah Khusus Ibu Kota,5,44,267,,664,10846145,16334.31,0.74,7.47,0.28,3.78,0.5062,0.7037,1.6,1
3/21/2020,Daerah Istimewa Yogyakarta,0,0,0,0,2,0,2,0,Daerah Istimewa Yogyakarta,Jawa,Daerah Istimewa,1,78,46,392,3133,3631015,1158.9,0,0.55,0,0,0,1,0,1
3/21/2020,Indonesia,81,6,3,72,450,38,20,392,,,,98,7230,8488,74953,1916907,265185520,138.34,0.31,1.7,0.02,0.14,0.0844,0.0444,1.35,0.86
3/21/2020,Jambi,0,0,0,0,1,0,0,1,Jambi,Sumatera,,2,141,163,1399,50058,3493357,69.79,0,0.29,0,0,0,0,0,1
3/21/2020,Jawa Barat,5,0,0,5,50,8,16,26,Jawa Barat,Jawa,,9,627,645,5312,35378,45161325,1276.55,0.11,1.11,0,0.18,0.16,0.32,0.31,0
3/21/2020,Jawa Tengah,1,1,0,0,18,11,13,-6,Jawa Tengah,Jawa,,6,576,753,7809,32801,36364072,1108.64,0.03,0.49,0.03,0.3,0.6111,0.7222,0.25,
3/21/2020,Jawa Timur,9,1,0,8,39,34,215,-210,Jawa Timur,Jawa,,9,666,777,7724,47803,40479023,846.78,0.22,0.96,0.02,0.84,0.8718,5.5128,1,
3/21/2020,Kalimantan Timur,0,0,0,0,7,0,2,5,Kalimantan Timur,Kalimantan,,3,103,197,841,129067,3552191,27.52,0,1.97,0,0,0,0.2857,1,1
3/21/2020,Kepulauan Riau,0,0,0,0,1,1,0,0,Kepulauan Riau,Sumatera,,2,75,142,275,8202,1929400,235.24,0,0.52,0,0.52,1,0,1,1
3/21/2020,Riau,0,0,0,0,2,0,3,-1,Riau,Sumatera,,2,169,268,1591,87024,6074100,69.8,0,0.33,0,0,0,1.5,1,1
