,Date,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Increasing,New Cases EMA,New Cases Difference,New Deaths EMA,New Deaths Difference,New Recovered EMA,New Recovered Difference
275,2020-12-02,Indonesia,5533,118,4001,1414,549508,17199,458880,73429,1,5126.709409473486,406.2905905265143,131.92461417720762,-13.924614177207616,4146.097300566179,-145.097300566179
276,2020-12-03,Indonesia,8369,156,3673,4540,557877,17355,462553,77969,1,5207.9675275787895,3161.0324724212105,129.1396913417661,26.86030865823389,4117.077840452944,-444.07784045294375
277,2020-12-04,Indonesia,5803,124,3625,2054,563680,17479,466178,80023,0,5840.174022063032,-37.17402206303177,134.51175307341288,-10.511753073412876,4028.262272362355,-403.2622723623549
278,2020-12-05,Indonesia,6027,110,4271,1646,569707,17589,470449,81669,1,5832.739217650426,194.26078234957367,132.4094024587303,-22.409402458730312,3947.609817889884,323.3901821101158
279,2020-12-06,Indonesia,6089,151,4322,1616,575796,17740,474771,83285,1,5871.591374120342,217.40862587965785,127.92752196698426,23.07247803301574,4012.2878543119077,309.7121456880923
280,2020-12-07,Indonesia,5754,127,4431,1196,581550,17867,479202,84481,0,5915.073099296274,-161.07309929627445,132.54201757358743,-5.5420175735874295,4074.2302834495263,356.76971655047373
281,2020-12-08,Indonesia,5292,133,4295,864,586842,18000,483497,85345,0,5882.85847943702,-590.8584794370199,131.43361405886995,1.5663859411300507,4145.584226759621,149.41577324037917
282,2020-12-09,Indonesia,6058,171,3948,1939,592900,18171,487445,87284,1,5764.686783549616,293.31321645038406,131.74689124709596,39.25310875290404,4175.467381407697,-227.46738140769685
283,2020-12-10,Indonesia,6033,165,4530,1338,598933,18336,491975,88622,0,5823.3494268396935,209.65057316030652,139.59751299767677,25.402487002323227,4129.973905126158,400.02609487384234
284,2020-12-11,Indonesia,6310,175,4911,1224,605243,18511,496886,89846,1,5865.279541471756,444.7204585282443,144.67801039814142,30.321989601858576,4209.979124100926,701.0208758990739
285,2020-12-12,Indonesia,6388,142,4490,1756,611631,18653,501376,91602,1,5954.223633177405,433.77636682259526,150.74240831851313,-8.742408318513128,4350.183299280741,139.81670071925873
286,2020-12-13,Indonesia,6189,166,4460,1563,617820,18819,505836,93165,0,6040.9789065419245,148.02109345807548,148.9939266548105,17.006073345189492,4378.146639424593,81.85336057540735
287,2020-12-14,Indonesia,5489,137,5121,231,623309,18956,510957,93396,0,6070.58312523354,-581.5831252335402,152.3951413238484,-15.395141323848407,4394.517311539674,726.4826884603262
288,2020-12-15,Indonesia,6120,155,5699,266,629429,19111,516656,93662,1,5954.266500186833,165.73349981316733,149.31611305907873,5.683886940921269,4539.813849231739,1159.1861507682606
289,2020-12-16,Indonesia,6725,137,5328,1260,636154,19248,521984,94922,1,5987.413200149466,737.5867998505337,150.45289044726297,-13.452890447262973,4771.651079385391,556.3489206146087
290,2020-12-17,Indonesia,7354,142,4995,2217,643508,19390,526979,97139,1,6134.930560119573,1219.0694398804271,147.76231235781037,-5.762312357810373,4882.920863508313,112.07913649168677
291,2020-12-18,Indonesia,6689,124,5016,1549,650197,19514,531995,98688,0,6378.744448095658,310.2555519043417,146.6098498862483,-22.6098498862483,4905.336690806651,110.66330919334905
292,2020-12-19,Indonesia,7751,145,4265,3341,657948,19659,536260,102029,1,6440.795558476527,1310.2044415234732,142.08787990899864,2.9121200910013556,4927.469352645321,-662.4693526453211
293,2020-12-20,Indonesia,6982,221,5551,1210,664930,19880,541811,103239,0,6702.836446781222,279.16355321877836,142.67030392719892,78.32969607280108,4794.975482116257,756.0245178837431
294,2020-12-21,Indonesia,6848,205,5073,1570,671778,20085,546884,104809,0,6758.669157424978,89.33084257502196,158.33624314175916,46.663756858240845,4946.1803856930055,126.81961430699448
295,2020-12-22,Indonesia,6347,172,5838,337,678125,20257,552722,105146,0,6776.5353259399835,-429.5353259399835,167.6689945134073,4.331005486592687,4971.544308554405,866.4556914455952
296,2020-12-23,Indonesia,7514,151,5981,1382,685639,20408,558703,106528,1,6690.628260751988,823.3717392480121,168.53519561072585,-17.53519561072585,5144.835446843525,836.1645531564754
297,2020-12-24,Indonesia,7199,181,5277,1741,692838,20589,563980,108269,0,6855.302608601591,343.6973913984093,165.0281564885807,15.971843511419308,5312.06835747482,-35.068357474820004
298,2020-12-25,Indonesia,7259,258,6324,677,700097,20847,570304,108946,1,6924.0420868812735,334.95791311872654,168.2225251908646,89.77747480913541,5305.054685979856,1018.945314020144
299,2020-12-26,Indonesia,6740,147,6389,204,706837,20994,576693,109150,0,6991.033669505019,-251.03366950501913,186.17802015269166,-39.17802015269166,5508.8437487838855,880.1562512161145
300,2020-12-27,Indonesia,6528,243,6983,-698,713365,21237,583676,108452,0,6940.8269356040155,-412.8269356040155,178.34241612215334,64.65758387784666,5684.874999027109,1298.125000972891
301,2020-12-28,Indonesia,5854,215,6302,-663,719219,21452,589978,107789,0,6858.261548483213,-1004.2615484832131,191.27393289772266,23.72606710227734,5944.499999221688,357.5000007783119
302,2020-12-29,Indonesia,7903,251,6805,847,727122,21703,596783,108636,1,6657.409238786571,1245.5907612134288,196.01914631817814,54.980853681821856,6015.999999377351,789.0000006226492
303,2020-12-30,Indonesia,8002,241,6958,803,735124,21944,603741,109439,1,6906.527391029258,1095.472608970742,207.01531705454255,33.98468294545745,6173.799999501881,784.2000004981192
304,2020-12-31,Indonesia,8074,194,7356,524,743198,22138,611097,109963,1,7125.621912823406,948.3780871765939,213.81225364363405,-19.81225364363405,6330.639999601505,1025.3600003984948
305,2021-01-01,Indonesia,8072,191,6839,1042,751270,22329,617936,111005,0,7315.297530258726,756.7024697412744,209.84980291490726,-18.849802914907258,6535.711999681204,303.28800031879564
